id,hour_of_day,mean_hourly_steps
XrpORwShj6Qit9Aq4hS1,10,1210.83
XrpORwShj6Qit9Aq4hS1,11,1212.18
XrpORwShj6Qit9Aq4hS1,12,1454.42
XrpORwShj6Qit9Aq4hS1,13,1649.92
XrpORwShj6Qit9Aq4hS1,14,593.57
XrpORwShj6Qit9Aq4hS1,15,736.88
XrpORwShj6Qit9Aq4hS1,16,723.52
XrpORwShj6Qit9Aq4hS1,17,811.12
XrpORwShj6Qit9Aq4hS1,18,538.89
XrpORwShj6Qit9Aq4hS1,19,537.78
XrpORwShj6Qit9Aq4hS1,20,479.89
XrpORwShj6Qit9Aq4hS1,21,533.75
XrpORwShj6Qit9Aq4hS1,22,807.6
XrpORwShj6Qit9Aq4hS1,23,598.92
Zqm5epVrcyI44hGpTO2c,0,33.38
Zqm5epVrcyI44hGpTO2c,1,1.45
Zqm5epVrcyI44hGpTO2c,2,2.71
Zqm5epVrcyI44hGpTO2c,3,2.31
Zqm5epVrcyI44hGpTO2c,4,1.57
Zqm5epVrcyI44hGpTO2c,5,3.8
Zqm5epVrcyI44hGpTO2c,6,113.43
Zqm5epVrcyI44hGpTO2c,7,754.17
Zqm5epVrcyI44hGpTO2c,8,211.55
Zqm5epVrcyI44hGpTO2c,9,203.02
Zqm5epVrcyI44hGpTO2c,10,413.45
Zqm5epVrcyI44hGpTO2c,11,465.18
Zqm5epVrcyI44hGpTO2c,12,275.55
Zqm5epVrcyI44hGpTO2c,13,334.94
Zqm5epVrcyI44hGpTO2c,14,396.75
Zqm5epVrcyI44hGpTO2c,15,333.8
Zqm5epVrcyI44hGpTO2c,16,325.78
Zqm5epVrcyI44hGpTO2c,17,614.02
Zqm5epVrcyI44hGpTO2c,18,637.03
Zqm5epVrcyI44hGpTO2c,19,659.66
Zqm5epVrcyI44hGpTO2c,20,439.08
Zqm5epVrcyI44hGpTO2c,21,403.4
Zqm5epVrcyI44hGpTO2c,22,262.2
Zqm5epVrcyI44hGpTO2c,23,158.88
cXQqwEwIHUTYC3x6ESln,0,121.85
cXQqwEwIHUTYC3x6ESln,1,175.72
cXQqwEwIHUTYC3x6ESln,2,130.17
cXQqwEwIHUTYC3x6ESln,3,143.12
cXQqwEwIHUTYC3x6ESln,4,200.49
cXQqwEwIHUTYC3x6ESln,5,132.95
cXQqwEwIHUTYC3x6ESln,6,418.08
cXQqwEwIHUTYC3x6ESln,7,317.26
cXQqwEwIHUTYC3x6ESln,8,256.54
cXQqwEwIHUTYC3x6ESln,9,340.18
cXQqwEwIHUTYC3x6ESln,10,410.38
cXQqwEwIHUTYC3x6ESln,11,169.58
